ip,click date,Agency,product code,travel date,Continent,Country,City,Flight,Product type,Price,Travel Period,id
103******0.10,12/4/16,HJ,HJKW42470OK1,12/22/16,Europe,Czech Republic,Cesky Krumlov,OK1,P,1590000,9,1
103******0.10,12/4/16,HJ,HJKW42470OK1,12/22/16,Europe,Croatia,Dubrovnik,OK1,P,1590000,9,2
103******0.10,12/4/16,HJ,HJKW42470OK1,12/22/16,Europe,Croatia,Zagreb,OK1,P,1590000,9,3
103******0.10,12/4/16,HJ,HJKW42470OK1,12/22/16,Europe,Croatia,Split,OK1,P,1590000,9,4
103******0.10,12/4/16,HJ,HJKW42470OK1,12/22/16,Europe,Croatia,Zadar,OK1,P,1590000,9,5
103******0.10,12/4/16,HJ,HJKW42470OK1,12/22/16,Europe,Croatia,Trogir,OK1,P,1590000,9,6
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,1/13/17,Europe,Italy,Neapolitan,AZ,P,1590000,8,7
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,1/13/17,Europe,Italy,Rome,AZ,P,1590000,8,8
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,1/13/17,Europe,Italy,Milan,AZ,P,1590000,8,9
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,1/13/17,Europe,Italy,Venice,AZ,P,1590000,8,10
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,1/13/17,Europe,Italy,Veronese,AZ,P,1590000,8,11
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,1/13/17,Europe,Italy,Sorrento,AZ,P,1590000,8,12
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,1/13/17,Europe,Italy,Pompeii,AZ,P,1590000,8,13
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,1/13/17,Europe,Italy,Florence,AZ,P,1590000,8,14
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,12/16/16,Europe,Italy,Neapolitan,AZ,P,1590000,8,15
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,12/16/16,Europe,Italy,Rome,AZ,P,1590000,8,16
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,12/16/16,Europe,Italy,Milan,AZ,P,1590000,8,17
